"","PSY1.qc","PSY2.qc","PSY3.qc","PSY4.qc","PSY5.qc"
"1",NA,NA,"TRUE","TRUE",NA
"2",NA,NA,"TRUE","TRUE",NA
"3",NA,NA,"TRUE","TRUE",NA
"4",NA,NA,"TRUE","TRUE",NA
"5",NA,NA,"TRUE","TRUE",NA
"6",NA,NA,"TRUE","TRUE",NA
"7",NA,NA,"TRUE","TRUE",NA
"8","FALSE","TRUE","FALSE","TRUE",NA
"9","FALSE","TRUE","FALSE","TRUE",NA
"10","FALSE","TRUE","FALSE","TRUE",NA
"11","FALSE","TRUE","FALSE","TRUE",NA
"12","FALSE","TRUE","FALSE","TRUE",NA
"13","FALSE","TRUE","FALSE","TRUE",NA
"14","FALSE","TRUE","FALSE","TRUE",NA
"15","FALSE",NA,"TRUE",NA,NA
"16","FALSE","TRUE","TRUE",NA,NA
"17","FALSE","TRUE","TRUE",NA,NA
"18","FALSE","TRUE","FALSE",NA,NA
"19","FALSE","TRUE","FALSE",NA,NA
"20","FALSE","TRUE","FALSE",NA,NA
"21","TRUE",NA,"FALSE",NA,NA
"22",NA,"TRUE","FALSE",NA,NA
"23",NA,"TRUE","TRUE",NA,NA
"24",NA,"TRUE","TRUE",NA,NA
"25",NA,"TRUE","TRUE",NA,NA
"26",NA,NA,"TRUE",NA,NA
"27",NA,"TRUE","TRUE",NA,NA
"28",NA,"TRUE","TRUE",NA,NA
"29",NA,"TRUE","TRUE",NA,NA
"30",NA,"TRUE","TRUE",NA,NA
"31",NA,"TRUE","TRUE",NA,NA
"32",NA,"TRUE","TRUE",NA,NA
"33",NA,"TRUE","TRUE",NA,NA
"34",NA,"TRUE","TRUE",NA,NA
"35",NA,"TRUE","TRUE",NA,NA
"36",NA,"TRUE","TRUE","TRUE","TRUE"
"37",NA,"TRUE","TRUE","TRUE","TRUE"
"38",NA,"TRUE","TRUE","TRUE","TRUE"
"39",NA,"TRUE","TRUE","TRUE","TRUE"
"40",NA,"TRUE","TRUE","TRUE","TRUE"
"41",NA,"TRUE","TRUE","TRUE","TRUE"
"42",NA,"TRUE","TRUE","TRUE","TRUE"
"43",NA,NA,NA,"TRUE","TRUE"
"44",NA,NA,NA,"TRUE","TRUE"
"45",NA,NA,NA,"TRUE","TRUE"
"46",NA,NA,NA,"TRUE","TRUE"
"47",NA,NA,NA,"TRUE","TRUE"
"48",NA,NA,NA,"TRUE","TRUE"
"49",NA,NA,NA,"TRUE","TRUE"
"50",NA,NA,NA,"TRUE","TRUE"
"51",NA,NA,NA,"TRUE","TRUE"
"52",NA,NA,NA,"TRUE","TRUE"
"53",NA,NA,NA,"TRUE","TRUE"
"54",NA,NA,NA,"TRUE","TRUE"
"55",NA,NA,NA,"TRUE","TRUE"
"56",NA,NA,NA,"TRUE","TRUE"
"57","TRUE",NA,NA,NA,"TRUE"
"58","TRUE",NA,NA,NA,"TRUE"
"59","TRUE",NA,NA,NA,"TRUE"
"60","TRUE",NA,NA,NA,"TRUE"
"61","TRUE",NA,NA,NA,"TRUE"
"62","TRUE",NA,NA,NA,"TRUE"
"63","TRUE",NA,NA,NA,"TRUE"
"64","TRUE",NA,NA,NA,"TRUE"
"65","TRUE",NA,NA,NA,"TRUE"
"66","TRUE",NA,NA,NA,"TRUE"
"67","TRUE",NA,NA,NA,"TRUE"
"68","TRUE",NA,NA,NA,"TRUE"
"69","TRUE",NA,NA,NA,"TRUE"
"70","TRUE",NA,NA,NA,"TRUE"
"71","TRUE","TRUE","TRUE","TRUE","TRUE"
"72","TRUE","TRUE","TRUE","TRUE","TRUE"
"73","TRUE","TRUE","TRUE","TRUE","TRUE"
"74","TRUE","TRUE","TRUE","TRUE","TRUE"
"75","TRUE","TRUE","TRUE","TRUE","TRUE"
"76","TRUE","TRUE","TRUE","TRUE","TRUE"
"77","TRUE","FALSE","TRUE","TRUE","TRUE"
"78","TRUE",NA,"TRUE","TRUE","TRUE"
"79","TRUE",NA,"TRUE","TRUE","TRUE"
"80","TRUE",NA,"TRUE","TRUE","TRUE"
"81","TRUE",NA,"TRUE","TRUE","TRUE"
"82","TRUE",NA,"TRUE","TRUE","TRUE"
"83","TRUE",NA,"TRUE","TRUE","TRUE"
"84","TRUE",NA,"TRUE","TRUE","TRUE"
"85","TRUE",NA,"TRUE","TRUE","TRUE"
"86","TRUE",NA,"FALSE","FALSE","TRUE"
"87","TRUE",NA,"FALSE","TRUE","TRUE"
"88","TRUE",NA,"TRUE","TRUE","TRUE"
"89","TRUE",NA,"TRUE","TRUE","TRUE"
"90","TRUE",NA,"FALSE","TRUE","TRUE"
"91","TRUE",NA,"TRUE","TRUE","TRUE"
"92",NA,"TRUE",NA,"TRUE","TRUE"
"93",NA,"TRUE",NA,"TRUE","TRUE"
"94",NA,"TRUE",NA,"TRUE","TRUE"
"95",NA,"TRUE",NA,"TRUE","TRUE"
"96",NA,"TRUE",NA,"TRUE","TRUE"
"97",NA,"TRUE",NA,"TRUE","TRUE"
"98",NA,"TRUE",NA,"TRUE","TRUE"
"99","TRUE",NA,"TRUE","TRUE","FALSE"
"100","TRUE",NA,"TRUE","TRUE","TRUE"
"101","TRUE",NA,"TRUE","TRUE","TRUE"
"102","TRUE",NA,"TRUE","TRUE","FALSE"
"103","TRUE",NA,"TRUE","TRUE","TRUE"
"104","TRUE",NA,"TRUE","TRUE","TRUE"
"105","TRUE",NA,"TRUE","TRUE","FALSE"
"106","TRUE",NA,"TRUE","TRUE",NA
"107","TRUE",NA,"TRUE","TRUE",NA
"108","TRUE",NA,"TRUE","TRUE",NA
"109","TRUE",NA,"TRUE","FALSE",NA
"110","TRUE",NA,"TRUE","TRUE",NA
"111","TRUE",NA,"TRUE","TRUE",NA
"112","TRUE",NA,"TRUE","TRUE",NA
"113","TRUE",NA,"TRUE","TRUE",NA
"114","TRUE",NA,"TRUE","TRUE",NA
"115","TRUE",NA,"TRUE","TRUE",NA
"116","TRUE",NA,"TRUE","TRUE",NA
"117","TRUE",NA,"TRUE","TRUE",NA
"118","TRUE",NA,"TRUE","TRUE",NA
"119","TRUE",NA,"TRUE","TRUE",NA
"120","TRUE",NA,"TRUE","TRUE",NA
"121","TRUE",NA,"TRUE","TRUE",NA
"122","TRUE",NA,"TRUE","TRUE",NA
"123","TRUE",NA,"TRUE","TRUE",NA
"124","TRUE",NA,"TRUE","TRUE",NA
"125","TRUE",NA,"TRUE","TRUE",NA
"126","TRUE",NA,"TRUE",NA,NA
"127",NA,"TRUE",NA,"TRUE",NA
"128",NA,"TRUE",NA,"TRUE",NA
"129",NA,"TRUE",NA,"TRUE",NA
"130",NA,"TRUE",NA,"TRUE",NA
"131",NA,"TRUE",NA,"TRUE",NA
"132",NA,"TRUE",NA,"TRUE",NA
"133",NA,"TRUE",NA,"TRUE",NA
"134",NA,"TRUE",NA,"TRUE",NA
"135",NA,"TRUE",NA,"TRUE",NA
"136",NA,"TRUE",NA,"FALSE",NA
"137",NA,"TRUE",NA,"TRUE",NA
"138",NA,"TRUE",NA,"TRUE",NA
"139",NA,"TRUE",NA,"FALSE",NA
"140",NA,"TRUE",NA,"FALSE",NA
"141",NA,"TRUE",NA,"TRUE",NA
"142",NA,"TRUE",NA,"TRUE",NA
"143",NA,"TRUE",NA,"TRUE",NA
"144",NA,"TRUE",NA,"TRUE",NA
"145",NA,"TRUE",NA,"TRUE",NA
"146",NA,"TRUE",NA,"TRUE",NA
"147",NA,"TRUE",NA,"TRUE",NA
"148",NA,"TRUE","TRUE","TRUE","TRUE"
"149",NA,"TRUE","TRUE","TRUE","TRUE"
"150",NA,"TRUE","TRUE","TRUE","TRUE"
"151",NA,"TRUE","TRUE","TRUE","TRUE"
"152",NA,"TRUE","TRUE","TRUE","TRUE"
"153",NA,"TRUE","TRUE","TRUE","TRUE"
"154",NA,"TRUE","TRUE","FALSE","TRUE"
"155",NA,"TRUE","TRUE","TRUE","TRUE"
"156",NA,"TRUE","TRUE","TRUE","TRUE"
"157",NA,"TRUE","TRUE","FALSE","TRUE"
"158",NA,"TRUE","TRUE","TRUE","TRUE"
"159",NA,"TRUE","TRUE","FALSE","TRUE"
"160",NA,"TRUE","TRUE","TRUE","TRUE"
"161",NA,"TRUE","TRUE","FALSE","TRUE"
"162","TRUE","TRUE","TRUE","TRUE","TRUE"
"163","TRUE","TRUE","TRUE","TRUE","TRUE"
"164","TRUE","TRUE","TRUE","TRUE","TRUE"
"165","TRUE","TRUE","TRUE","TRUE","TRUE"
"166","TRUE","TRUE","TRUE","TRUE","TRUE"
"167","TRUE","TRUE","TRUE","TRUE","TRUE"
"168","TRUE","TRUE","TRUE","TRUE","TRUE"
"169","TRUE","TRUE",NA,"TRUE",NA
"170","TRUE","TRUE",NA,"TRUE",NA
"171","TRUE","TRUE",NA,"TRUE",NA
"172","TRUE","TRUE",NA,"TRUE",NA
"173","TRUE","TRUE",NA,"TRUE",NA
"174","TRUE","TRUE",NA,"TRUE",NA
"175","TRUE","TRUE",NA,"TRUE",NA
"176","TRUE","TRUE","TRUE","TRUE","TRUE"
"177","TRUE","TRUE","TRUE","TRUE","TRUE"
"178","TRUE","TRUE","TRUE","TRUE","TRUE"
"179","TRUE","TRUE","TRUE","TRUE","TRUE"
"180","TRUE","TRUE","TRUE","TRUE","TRUE"
"181","TRUE","TRUE","TRUE","TRUE","TRUE"
"182","TRUE","TRUE","TRUE","TRUE","TRUE"
"183","TRUE","TRUE","TRUE","TRUE","TRUE"
"184","TRUE","TRUE","TRUE","TRUE","TRUE"
"185","TRUE","TRUE","TRUE","TRUE","TRUE"
"186","TRUE","TRUE","TRUE","TRUE","FALSE"
"187","TRUE","TRUE","TRUE","TRUE","FALSE"
"188","TRUE","TRUE","TRUE","FALSE","FALSE"
"189","TRUE","TRUE","TRUE","FALSE","FALSE"
"190","TRUE","TRUE","TRUE","FALSE","FALSE"
"191","TRUE","TRUE","TRUE","FALSE","FALSE"
"192","TRUE","TRUE","TRUE","TRUE","FALSE"
"193","TRUE","TRUE","TRUE","TRUE","FALSE"
"194","TRUE","TRUE","TRUE","FALSE","FALSE"
"195","TRUE","TRUE","TRUE","TRUE","FALSE"
"196","TRUE","TRUE","TRUE","TRUE","TRUE"
"197","FALSE","FALSE","TRUE","TRUE","TRUE"
