"","PSY6.qc","PSY7.qc","PSY8.qc","PSY9.qc"
"1","5","4","4","5"
"2","5","4","4","5"
"3","5","4","4","5"
"4","5","4","4","5"
"5","5","4","4","5"
"6","5","4","4","5"
"7","5","4","4","5"
"8","3","4","1","3"
"9","3","1","1","3"
"10","3","4","1","3"
"11","3","4","1","3"
"12","3","4","1","3"
"13","3","4","1","3"
"14","3","2","1","3"
"15","3","2","5","1"
"16","3","4","5","1"
"17","3","4","5","1"
"18","3","4","5","1"
"19","3","4","5","1"
"20","3","4","5","1"
"21","3","4","5","1"
"22","3","4","5","2"
"23","3","4","5","2"
"24","4","4","5","2"
"25","3","4","5","2"
"26","3","4","5","1"
"27","3","4","5","1"
"28","3","4","5","2"
"29","3","4","5","1"
"30","3","4","5","2"
"31","3","4","5","1"
"32","3","4","5","1"
"33","3","4","5","1"
"34","3","4","5","1"
"35","3","4","5","1"
"36","3","4","3","1"
"37","4","3","3","1"
"38","4","3","3","1"
"39","4","3","3","1"
"40","4","3","3","1"
"41","4","3","3","1"
"42","4","3","3","1"
"43",NA,NA,"5","1"
"44",NA,NA,"5","1"
"45",NA,NA,"5","1"
"46",NA,NA,"5","1"
"47",NA,NA,"5","1"
"48",NA,NA,"5","1"
"49",NA,NA,"5","1"
"50","4","4","5","1"
"51","4","4","5","1"
"52","4","4","5","1"
"53","4","4","5","1"
"54","4","4","5","1"
"55","4","4","5","1"
"56","4","4","5","1"
"57","1","3","5","1"
"58","1","2","5","1"
"59","1","3","5","1"
"60","1","3","5","1"
"61","1","3","5","1"
"62","1","3","3","1"
"63","1","3","3","1"
"64","1",NA,"1","1"
"65","1",NA,"1","1"
"66","1",NA,"1","1"
"67","1",NA,"1","1"
"68","2",NA,"1","1"
"69","1",NA,"1","1"
"70","1",NA,"1","1"
"71","1","1","1","1"
"72","1","1","1","1"
"73","1","1","1","1"
"74","1","1","1","1"
"75","1","1","1","1"
"76","1","1","1","2"
"77","1","1","1","1"
"78","1","1","5","1"
"79","3","1","5","1"
"80","3","1","5","1"
"81","3","1","5","1"
"82","3","1","5","1"
"83","3","1","5","1"
"84","3","1","5","1"
"85","3","1","1","1"
"86","3","1","1","1"
"87","3","1","1","1"
"88","3","1","1","1"
"89","3","1","1","1"
"90","3","1","1","1"
"91","3","1","1","1"
"92","1","1","1","1"
"93","1","1","1","1"
"94","1","1","1","1"
"95","1","1","1","1"
"96","1","1","1","1"
"97","1","1","1","1"
"98","1","1","1","1"
"99","1",NA,"1","3"
"100","1",NA,"5","3"
"101","1",NA,"5","3"
"102","1",NA,"5","3"
"103","1",NA,"5","3"
"104","1",NA,"5","3"
"105","1",NA,"5","3"
"106","1",NA,"1",NA
"107","1",NA,"1",NA
"108","1",NA,"1",NA
"109","1",NA,"1",NA
"110","1",NA,"1",NA
"111","1",NA,"1",NA
"112","1",NA,"1",NA
"113","1",NA,NA,NA
"114","1",NA,NA,NA
"115","1",NA,NA,"2"
"116","1",NA,NA,NA
"117","1",NA,NA,NA
"118","1",NA,NA,NA
"119","1",NA,NA,NA
"120","1",NA,NA,NA
"121","1",NA,NA,NA
"122","1",NA,NA,NA
"123","1",NA,NA,NA
"124","1",NA,NA,NA
"125","1",NA,NA,NA
"126","1",NA,NA,NA
"127",NA,NA,"1","2"
"128",NA,NA,"1","1"
"129",NA,NA,"1","1"
"130",NA,NA,"1","1"
"131",NA,NA,"1","1"
"132",NA,NA,"1","1"
"133",NA,NA,"1","1"
"134","1","1","1","1"
"135","1","1","1","1"
"136","1","1","1","1"
"137","1","1","1","1"
"138","1","1","1","1"
"139","1","1","1","1"
"140","1","1","1","2"
"141","1","3","3","1"
"142","1","3","3","1"
"143","1","3","3","2"
"144","1","3","3","1"
"145","1","3","3","1"
"146","1","3","3","1"
"147","1","3","3","1"
