"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"1",2018,169,"PSY3",-0.836763694149789,0.012248905875044,7,17.0314285714286,0.0328778402720186,3,589,"control","169-18",2018-06-18
"2",2018,169,"PSY4",-0.462254661202986,0.0127283036530604,7,17.0314285714286,0.0328778402720186,4,498,"control","169-18",2018-06-18
"3",2018,171,"PSY1",-3.70624301622657,0.187451830377231,7,17.4614285714286,0.0498091596089751,1,590,"swd","171-18",2018-06-20
"4",2018,171,"PSY2",-0.530511845929812,0.0775086388606072,7,17.4614285714286,0.0498091596089751,2,592,"mwd","171-18",2018-06-20
"5",2018,171,"PSY3",-2.46786944594469,0.0295572968096354,7,17.4614285714286,0.0498091596089751,3,589,"control","171-18",2018-06-20
"6",2018,171,"PSY4",-0.385031994486365,0.0148636089438758,7,17.4614285714286,0.0498091596089751,4,498,"control","171-18",2018-06-20
"7",2018,171,"PSY6",-4.26169347044781,0.132459502714064,7,17.4614285714286,0.0498091596089751,6,588,"swd","171-18",2018-06-20
"8",2018,171,"PSY8",-0.949652756683123,0.011622094259616,7,17.4614285714286,0.0498091596089751,8,10954,"control","171-18",2018-06-20
"9",2018,171,"PSY9",-3.6336255669875,0.0453744706808892,7,17.4614285714286,0.0498091596089751,9,600,"mwd","171-18",2018-06-20
"10",2018,173,"PSY1",-3.01730218133509,0.0447079505019188,7,17.9814285714286,0.237797432802835,1,590,"swd","173-18",2018-06-22
"11",2018,173,"PSY2",-0.162995221422075,0.003514020104033,5,17.986,0.174011493873249,2,592,"mwd","173-18",2018-06-22
"12",2018,173,"PSY3",-2.47171453958723,0.0997007155744137,7,17.9814285714286,0.237797432802835,3,589,"control","173-18",2018-06-22
"13",2018,173,"PSY6",-3.0080611102424,0.0103453747669409,7,17.9814285714286,0.237797432802835,6,588,"swd","173-18",2018-06-22
"14",2018,173,"PSY8",-2.92669733172035,0.0965514983196254,7,17.9814285714286,0.237797432802835,8,10954,"control","173-18",2018-06-22
"15",2018,173,"PSY9",-0.218967315643354,0.0058207276424868,7,17.9814285714286,0.237797432802835,9,600,"mwd","173-18",2018-06-22
"16",2018,176,"PSY2",-0.250446620296556,0.0644168597429682,6,19.2766666666667,0.0625033332444491,2,592,"mwd","176-18",2018-06-25
"17",2018,176,"PSY3",-0.771996844822762,0.00552170161350417,7,19.2714285714286,0.0587164291116129,3,589,"control","176-18",2018-06-25
"18",2018,176,"PSY6",-3.54234926456079,0.0799278763190197,7,19.2714285714286,0.0587164291116129,6,588,"swd","176-18",2018-06-25
"19",2018,176,"PSY8",-2.20818252370063,0.018220742488996,7,19.2714285714286,0.0587164291116129,8,10954,"control","176-18",2018-06-25
"20",2018,176,"PSY9",-0.308619412172049,0.0203149263168174,7,19.2714285714286,0.0587164291116129,9,600,"mwd","176-18",2018-06-25
"21",2018,178,"PSY2",-0.710562323556339,0.0553449676206893,7,18.44,0.0115470053837918,2,592,"mwd","178-18",2018-06-27
"22",2018,178,"PSY3",-0.836405173356555,0.00942879466926895,7,18.44,0.0115470053837918,3,589,"control","178-18",2018-06-27
"23",2018,178,"PSY6",-4.58751082908239,NA,1,18.45,NA,6,588,"swd","178-18",2018-06-27
"24",2018,178,"PSY8",-2.66448614771912,0.0150722275955379,7,18.44,0.0115470053837918,8,10954,"control","178-18",2018-06-27
"25",2018,178,"PSY9",-0.376481259995689,0.0213942933136098,7,18.44,0.0115470053837918,9,600,"mwd","178-18",2018-06-27
"26",2018,180,"PSY2",-2.00158121097214,0.0534045809980064,7,18.0371428571429,0.188742707206953,2,592,"mwd","180-18",2018-06-29
"27",2018,180,"PSY3",-1.02548483366377,0.0121342762473465,7,18.0371428571429,0.188742707206953,3,589,"control","180-18",2018-06-29
"28",2018,180,"PSY4",-0.888617048891331,0.0182084533090697,7,18.0371428571429,0.188742707206953,4,498,"control","180-18",2018-06-29
"29",2018,180,"PSY5",-0.250951694967901,0.0129044430994402,7,18.0371428571429,0.188742707206953,5,10999,"mwd","180-18",2018-06-29
"30",2018,180,"PSY7",-4.46698423498572,0.03394732013938,7,18.0371428571429,0.188742707206953,7,591,"swd","180-18",2018-06-29
"31",2018,180,"PSY8",-4.20257341985523,0.103569430384293,7,18.0371428571429,0.188742707206953,8,10954,"control","180-18",2018-06-29
"32",2018,180,"PSY9",-0.463955016009078,0.00703795603237065,7,18.0371428571429,0.188742707206953,9,600,"mwd","180-18",2018-06-29
"33",2018,183,"PSY4",-1.11182278393418,0.00697417697795988,7,18.4871428571429,0.0325137333621175,4,498,"control","183-18",2018-07-02
"34",2018,183,"PSY5",-0.267342763660803,0.0110117514130298,7,18.4871428571429,0.0325137333621175,5,10999,"mwd","183-18",2018-07-02
"35",2018,183,"PSY8",-2.86837891380843,NA,1,18.52,NA,8,10954,"control","183-18",2018-07-02
"36",2018,183,"PSY9",-0.643082302174291,0.0144771338065906,7,18.4871428571429,0.0325137333621175,9,600,"mwd","183-18",2018-07-02
"37",2018,184,"PSY4",-0.99435228195189,0.0124440531286754,7,18,0.0653197264742176,4,498,"control","184-18",2018-07-03
"38",2018,184,"PSY5",-0.256635040978953,0.0172822632813109,7,18,0.0653197264742176,5,10999,"mwd","184-18",2018-07-03
"39",2018,184,"PSY9",-0.673770937754343,0.0352417501756967,7,18,0.0653197264742176,9,600,"mwd","184-18",2018-07-03
"40",2018,185,"PSY1",-0.280685684068647,0.0201506116319104,7,18.1514285714286,0.15377782365354,1,590,"swd","185-18",2018-07-04
"41",2018,185,"PSY5",-0.226238480292359,0.0154512782914499,7,18.1514285714286,0.15377782365354,5,10999,"mwd","185-18",2018-07-04
"42",2018,185,"PSY6",-0.473290865117319,0.00877656639495918,7,18.1514285714286,0.15377782365354,6,588,"swd","185-18",2018-07-04
"43",2018,185,"PSY9",-0.749452663033683,0.00813305552397356,7,18.1514285714286,0.15377782365354,9,600,"mwd","185-18",2018-07-04
"44",2018,186,"PSY1",-0.26235802657324,0.0353937630202684,7,18.8371428571429,0.0977606406338607,1,590,"swd","186-18",2018-07-05
"45",2018,186,"PSY5",-0.285583585932352,0.0498994040106535,7,18.8371428571429,0.0977606406338607,5,10999,"mwd","186-18",2018-07-05
"46",2018,186,"PSY6",-1.47137529022697,0.0390909452688323,7,18.8371428571429,0.0977606406338607,6,588,"swd","186-18",2018-07-05
"47",2018,186,"PSY8",-2.27884422106465,0.0662645772071592,7,18.8371428571429,0.0977606406338607,8,10954,"control","186-18",2018-07-05
"48",2018,186,"PSY9",-1.04683164331341,0.0375470363957236,7,18.8371428571429,0.0977606406338607,9,600,"mwd","186-18",2018-07-05
"49",2018,187,"PSY1",-0.956629608405509,0.0206407826372104,7,19.3457142857143,0.166318684343956,1,590,"swd","187-18",2018-07-06
"50",2018,187,"PSY2",-1.42373746270914,0.0967700429373543,7,19.3457142857143,0.166318684343956,2,592,"mwd","187-18",2018-07-06
"51",2018,187,"PSY3",-0.881027673780683,0.0261455929006361,7,19.3457142857143,0.166318684343956,3,589,"control","187-18",2018-07-06
"52",2018,187,"PSY4",-0.481395631461466,0.0197065920483398,7,19.3457142857143,0.166318684343956,4,498,"control","187-18",2018-07-06
