Date,genuis,species,ID,Amax,E,gs,lwp
27-Apr-18,aesculus,californica,AECA6_588,21.4,5.06,447,NA
27-Apr-18,aesculus,californica,AECA3_589,19,4.76,278,NA
27-Apr-18,aesculus,californica,AECA2_592,10.2,2.29,192,NA
27-Apr-18,aesculus,californica,AECA9_600,18,5.33,330,NA
27-Apr-18,aesculus,californica,AECA1_590,17.5,3.9,300,NA
27-Apr-18,aesculus,californica,AECA7_591,15.3,2.95,245,NA
30-Apr-18,aesculus,californica,AECA6_588,23.94,8.59,835,NA
30-Apr-18,aesculus,californica,AECA3_589,17.65,3.3,283,NA
30-Apr-18,aesculus,californica,AECA2_592,12.64,2.5,206,NA
30-Apr-18,aesculus,californica,AECA9_600,22.63,7.3,685,NA
30-Apr-18,aesculus,californica,AECA1_590,15.39,3.12,265,NA
30-Apr-18,aesculus,californica,AECA7_591,14.45,3.45,230,NA
2-May-18,aesculus,californica,AECA6_588,22.53,9.33,917,NA
2-May-18,aesculus,californica,AECA3_589,18.6,6.33,478,NA
2-May-18,aesculus,californica,AECA2_592,9.82,3.39,203,NA
2-May-18,aesculus,californica,AECA9_600,21.85,7.2,699,NA
2-May-18,aesculus,californica,AECA1_590,10.23,3.03,256,NA
2-May-18,aesculus,californica,AECA7_591,15.3,3.8,334,NA
2-May-18,aesculus,californica,AECA4_498,10.73,2.24,145,NA
2-May-18,aesculus,californica,AECA8_10954,12.02,4.63,266,NA
2-May-18,aesculus,californica,AECA5_10999,8.16,1.52,120,NA
7-May-18,aesculus,californica,AECA6_588,23.02,6.94,620,NA
7-May-18,aesculus,californica,AECA3_589,18.07,5.78,378,NA
7-May-18,aesculus,californica,AECA2_592,18.02,7.09,696,NA
7-May-18,aesculus,californica,AECA9_600,20.97,7.2,488,NA
7-May-18,aesculus,californica,AECA1_590,7.58,1.31,753,NA
7-May-18,aesculus,californica,AECA7_591,17.8,4.4,385,NA
7-May-18,aesculus,californica,AECA4_498,16.56,3.6,319,NA
7-May-18,aesculus,californica,AECA8_10954,11.8,2.9,238,NA
7-May-18,aesculus,californica,AECA5_10999,3.5,4.3,37,NA
9-May-18,aesculus,californica,AECA6_588,23.29,9.9,717,NA
9-May-18,aesculus,californica,AECA3_589,13,4.04,156,NA
9-May-18,aesculus,californica,AECA2_592,19.37,9.2,608,NA
9-May-18,aesculus,californica,AECA9_600,19.3,8.9,561,NA
9-May-18,aesculus,californica,AECA1_590,11.3,5.3,232,NA
9-May-18,aesculus,californica,AECA7_591,14.08,6.3,301,NA
9-May-18,aesculus,californica,AECA4_498,15.92,5.5,229,NA
9-May-18,aesculus,californica,AECA8_10954,13.4,7.5,386,NA
9-May-18,aesculus,californica,AECA5_10999,10.42,4.2,163,NA
17-May-18,aesculus,californica,AECA6_588,8.2,1.9,67,NA
17-May-18,aesculus,californica,AECA3_589,12.45,2.9,106,NA
17-May-18,aesculus,californica,AECA2_592,15.48,4.4,181,NA
17-May-18,aesculus,californica,AECA9_600,22.82,7.9,434,NA
17-May-18,aesculus,californica,AECA1_590,5.026,1.03,34,NA
17-May-18,aesculus,californica,AECA7_591,11.22,4.6,182,NA
17-May-18,aesculus,californica,AECA4_498,5.3,1.3,46,NA
17-May-18,aesculus,californica,AECA8_10954,3.4,0.8,28,NA
17-May-18,aesculus,californica,AECA5_10999,1.8,0.5,19,NA
18-May-18,aesculus,californica,AECA6_588,9.3,2.3,91,NA
18-May-18,aesculus,californica,AECA3_589,8.9,2.3,88,NA
18-May-18,aesculus,californica,AECA2_592,18.1,6,331,NA
18-May-18,aesculus,californica,AECA9_600,14.6,4.4,195,NA
18-May-18,aesculus,californica,AECA1_590,3.8,0.9,32,NA
18-May-18,aesculus,californica,AECA7_591,10.1,4.8,249,NA
18-May-18,aesculus,californica,AECA4_498,9.8,2.5,110,NA
18-May-18,aesculus,californica,AECA8_10954,6.1,1.4,60,NA
18-May-18,aesculus,californica,AECA5_10999,5.5,1.3,57,NA
29-May-18,aesculus,californica,AECA6_588,17.05,2.94,255,NA
29-May-18,aesculus,californica,AECA3_589,3.3,0.2,17,NA
29-May-18,aesculus,californica,AECA2_592,15.7,2.1,220.3,NA
29-May-18,aesculus,californica,AECA9_600,10.9,1.4,113,NA
29-May-18,aesculus,californica,AECA1_590,5.29,0.58,48,NA
29-May-18,aesculus,californica,AECA7_591,5.5,1.2,98,NA
29-May-18,aesculus,californica,AECA4_498,8,0.8,74,NA
29-May-18,aesculus,californica,AECA8_10954,4.4,0.5,42,NA
29-May-18,aesculus,californica,AECA5_10999,5.78,0.7,58,NA
31-May-18,aesculus,californica,AECA6_588,15.15,3.2,65,NA
31-May-18,aesculus,californica,AECA3_589,4.45,1.2,44,NA
31-May-18,aesculus,californica,AECA2_592,7.75,2.2,87,NA
31-May-18,aesculus,californica,AECA9_600,15.8,4.8,241,NA
31-May-18,aesculus,californica,AECA1_590,10.9,4.3,187,NA
31-May-18,aesculus,californica,AECA7_591,10.7,5.5,258,NA
31-May-18,aesculus,californica,AECA4_498,4.8,1.6,55,NA
31-May-18,aesculus,californica,AECA8_10954,20.04,7,351,NA
31-May-18,aesculus,californica,AECA5_10999,5.1,1.3,42,NA
5-Jun-18,aesculus,californica,AECA6_588,20.83,8.1,559,NA
5-Jun-18,aesculus,californica,AECA3_589,10.97,3.1,125,NA
5-Jun-18,aesculus,californica,AECA2_592,13.6,3.5,145,NA
5-Jun-18,aesculus,californica,AECA9_600,9.5,2.5,101,NA
5-Jun-18,aesculus,californica,AECA1_590,12.4,4.8,216,NA
5-Jun-18,aesculus,californica,AECA7_591,8.9,3.3,126,NA
5-Jun-18,aesculus,californica,AECA4_498,14.5,4.5,186,NA
5-Jun-18,aesculus,californica,AECA8_10954,10.3,3.2,117,NA
5-Jun-18,aesculus,californica,AECA5_10999,13.8,4.3,180,NA
12-Jun-18,aesculus,californica,AECA6_588,20.27,8.7,418,NA
12-Jun-18,aesculus,californica,AECA3_589,7,1.9,56,NA
12-Jun-18,aesculus,californica,AECA2_592,9.3,2.4,72,NA
12-Jun-18,aesculus,californica,AECA9_600,16.6,5.7,225,NA
12-Jun-18,aesculus,californica,AECA1_590,10.5,3.9,130,NA
12-Jun-18,aesculus,californica,AECA7_591,5.3,2,64,NA
12-Jun-18,aesculus,californica,AECA4_498,9.3,3,87,NA
12-Jun-18,aesculus,californica,AECA8_10954,1.7,0.6,18,NA
12-Jun-18,aesculus,californica,AECA5_10999,5.63,1.8,48,NA
15-Jun-18,aesculus,californica,AECA6_588,11.5,4.3,203,NA
15-Jun-18,aesculus,californica,AECA3_589,6.3,2.1,83,NA
15-Jun-18,aesculus,californica,AECA2_592,8.5,2.1,81,NA
15-Jun-18,aesculus,californica,AECA9_600,15.1,6.01,304,NA
15-Jun-18,aesculus,californica,AECA1_590,7.89,2.94,114,NA
15-Jun-18,aesculus,californica,AECA7_591,10.29,3.52,145,NA
15-Jun-18,aesculus,californica,AECA4_498,13.65,4.25,186,NA
15-Jun-18,aesculus,californica,AECA8_10954,9.22,2.5,98,NA
15-Jun-18,aesculus,californica,AECA5_10999,7.25,2.39,91,NA
20-Jun-18,aesculus,californica,AECA6_588,10.2,5.2,199,NA
20-Jun-18,aesculus,californica,AECA3_589,15.3,7.6,372,NA
20-Jun-18,aesculus,californica,AECA2_592,15.42,5.03,191,NA
20-Jun-18,aesculus,californica,AECA9_600,19.26,8,520,NA
20-Jun-18,aesculus,californica,AECA1_590,13.19,7.3,370,NA
20-Jun-18,aesculus,californica,AECA7_591,13.75,6.2,270,NA
20-Jun-18,aesculus,californica,AECA4_498,7.2,2.4,73,NA
20-Jun-18,aesculus,californica,AECA8_10954,15.1,7.3,333,NA
20-Jun-18,aesculus,californica,AECA5_10999,10.5,4.4,158,NA
27-Jun-18,aesculus,californica,AECA6_588,17.1,7.9,475,NA
27-Jun-18,aesculus,californica,AECA3_589,11.58,4.9,267,NA
27-Jun-18,aesculus,californica,AECA2_592,16.38,5.1,256,NA
27-Jun-18,aesculus,californica,AECA9_600,19.6,8.34,548,NA
27-Jun-18,aesculus,californica,AECA1_590,14.4,6.75,390,NA
27-Jun-18,aesculus,californica,AECA7_591,9.6,5.07,234,NA
27-Jun-18,aesculus,californica,AECA4_498,13.2,5.39,249,NA
27-Jun-18,aesculus,californica,AECA8_10954,15.6,6.49,333,NA
27-Jun-18,aesculus,californica,AECA5_10999,5.5,1.7,65,NA
3-Jul-18,aesculus,californica,AECA6_588,19.48,9.7,663,NA
3-Jul-18,aesculus,californica,AECA3_589,13.59,6.1,311,NA
3-Jul-18,aesculus,californica,AECA2_592,15.5,5.87,281,NA
3-Jul-18,aesculus,californica,AECA9_600,21.2,8.82,566,NA
3-Jul-18,aesculus,californica,AECA1_590,14.5,7.05,368,NA
3-Jul-18,aesculus,californica,AECA7_591,10.5,5.4,238,NA
3-Jul-18,aesculus,californica,AECA4_498,12.5,5.75,254,NA
3-Jul-18,aesculus,californica,AECA8_10954,11.6,6.15,295,NA
3-Jul-18,aesculus,californica,AECA5_10999,11.2,6.14,274,NA
4-Jul,aesculus,californica,AECA6_588,18.5,8.8,545,NA
4-Jul,aesculus,californica,AECA3_589,13.2,5.8,308,NA
4-Jul,aesculus,californica,AECA2_592,15.9,5,230,NA
4-Jul,aesculus,californica,AECA9_600,18.1,7.9,241,NA
4-Jul,aesculus,californica,AECA1_590,13.1,6.12,265,NA
4-Jul,aesculus,californica,AECA7_591,8.5,3.1,135,NA
4-Jul,aesculus,californica,AECA4_498,12.2,5.7,255,NA
4-Jul,aesculus,californica,AECA8_10954,11.5,6.6,280,NA
4-Jul,aesculus,californica,AECA5_10999,11.1,5.5,234,NA
5-Jul-18,aesculus,californica,AECA6_588,14.89,7.56,365,NA
5-Jul-18,aesculus,californica,AECA3_589,12.01,5.97,260,NA
5-Jul-18,aesculus,californica,AECA2_592,19,6.85,311,NA
5-Jul-18,aesculus,californica,AECA9_600,25.03,10.4,683,NA
5-Jul-18,aesculus,californica,AECA1_590,18.9,7.98,394,NA
5-Jul-18,aesculus,californica,AECA7_591,6.9,1.5,85,NA
5-Jul-18,aesculus,californica,AECA4_498,11.3,4.28,173,NA
5-Jul-18,aesculus,californica,AECA8_10954,11,5.83,257,NA
5-Jul-18,aesculus,californica,AECA5_10999,10.5,3.55,130,NA
6-Jul-18,aesculus,californica,AECA6_588,9.8,4.63,185,NA
6-Jul-18,aesculus,californica,AECA3_589,12.3,4.31,185,NA
6-Jul-18,aesculus,californica,AECA2_592,16.5,6.69,332,NA
6-Jul-18,aesculus,californica,AECA9_600,19,8.55,509,NA
6-Jul-18,aesculus,californica,AECA1_590,15,6.9,353,NA
6-Jul-18,aesculus,californica,AECA7_591,8.44,3.46,141,NA
6-Jul-18,aesculus,californica,AECA4_498,10,4.78,192,NA
6-Jul-18,aesculus,californica,AECA8_10954,16,6.7,324,NA
6-Jul-18,aesculus,californica,AECA5_10999,6.5,2.5,90,NA
7-Jul-18,aesculus,californica,AECA6_588,9.2,3.8,108,NA
7-Jul-18,aesculus,californica,AECA3_589,9,4.3,140,NA
7-Jul-18,aesculus,californica,AECA2_592,3.6,1.2,114,NA
7-Jul-18,aesculus,californica,AECA9_600,22.5,9.8,508,NA
7-Jul-18,aesculus,californica,AECA1_590,11.5,5.4,191,NA
7-Jul-18,aesculus,californica,AECA7_591,6.7,2.3,66,NA
7-Jul-18,aesculus,californica,AECA4_498,14,6.3,262,NA
7-Jul-18,aesculus,californica,AECA8_10954,18.5,8.9,45,NA
